point_id,x,y,county,node,snap_m,lon,lat,base_min,base_er
0,388604.1362063309,3957337.8225730853,Washington County,7f358778-b535-42b9-b7f1-4c226c2785f9,811.0,-94.23213,35.75376,42.7,Northwest Health ED - Fayetteville
1,389604.1362063309,3957337.8225730853,Washington County,f06cc03d-7389-4b31-a7d2-1ca69cd3431c,354.0,-94.22107,35.75388,40.0,Northwest Health ED - Fayetteville
2,390604.1362063309,3957337.8225730853,Washington County,f06cc03d-7389-4b31-a7d2-1ca69cd3431c,652.0,-94.21001,35.75399,40.0,Northwest Health ED - Fayetteville
3,391604.1362063309,3957337.8225730853,Washington County,d4a4d3f1-ed7a-4b04-bf73-a5977d49f183,639.0,-94.19895,35.7541,41.9,Northwest Health ED - Fayetteville
4,392604.1362063309,3957337.8225730853,Washington County,9c0d4775-91df-459c-9460-097c6a85389c,407.0,-94.1879,35.75421,34.0,Northwest Health ED - Fayetteville
5,393604.1362063309,3957337.8225730853,Washington County,a734ea83-99be-4d09-94f9-5e8361524723,159.0,-94.17684,35.75432,32.2,Northwest Health ED - Fayetteville
6,394604.1362063309,3957337.8225730853,Washington County,48208181-06e7-496c-80b2-5d23c18e2eb5,696.0,-94.16578,35.75443,34.1,Northwest Health ED - Fayetteville
7,395604.1362063309,3957337.8225730853,Washington County,bf0caf9a-f0a8-4baf-9a31-48c4222b3fdb,434.0,-94.15472,35.75453,32.1,Northwest Health ED - Fayetteville
8,396604.1362063309,3957337.8225730853,Washington County,25aacdf3-8102-4f5a-8335-382b3e38c591,356.0,-94.14366,35.75464,40.1,Northwest Health ED - Fayetteville
9,397604.1362063309,3957337.8225730853,Washington County,a8b9148a-79ad-408c-b591-86eebaa909fe,58.0,-94.1326,35.75474,29.4,Northwest Health ED - Fayetteville
10,365604.1362063309,3958337.8225730853,Washington County,cea0b8f7-f299-4547-ac38-ef20085b77d9,1215.0,-94.48663,35.7599,20.7,Stilwell Memorial Hospital (OK)
11,366604.1362063309,3958337.8225730853,Washington County,cea0b8f7-f299-4547-ac38-ef20085b77d9,225.0,-94.47557,35.76004,20.7,Stilwell Memorial Hospital (OK)
